"state", "date_peak", "cases_peak"
"washington", "04/05/20", "442"
"washington", "07/15/20", "843"
"washington", "12/10/20", "3,128"
"washington", "04/29/21", "1,363"
"washington", "09/01/21", "3,499"
"washington", "01/27/22", "19,569"
"washington", "06/04/22", "3,228"
"washington", "06/22/22", "2,587"
"illinois", "05/02/20", "2,248"
"illinois", "09/03/20", "2,158"
"illinois", "11/12/20", "10,729"
"illinois", "04/09/21", "2,966"
"illinois", "09/01/21", "4,355"
"illinois", "01/05/22", "33,231"
"illinois", "05/18/22", "5,743"
"illinois", "06/22/22", "3,879"
"california", "07/23/20", "8,838"
"california", "12/19/20", "39,715"
"california", "08/21/21", "13,946"
"california", "10/28/21", "6,783"
"california", "01/12/22", "113,547"
"california", "06/22/22", "18,663"
"arizona", "07/03/20", "3,361"
"arizona", "01/06/21", "8,998"
"arizona", "04/29/21", "691"
"arizona", "09/04/21", "2,984"
"arizona", "12/04/21", "3,614"
"arizona", "01/21/22", "18,671"
"arizona", "03/28/22", "1,449"
"arizona", "06/13/22", "2,333"
"massachusetts", "04/26/20", "2,194"
"massachusetts", "08/27/20", "381"
"massachusetts", "01/08/21", "5,744"
"massachusetts", "04/08/21", "2,049"
"massachusetts", "09/15/21", "1,990"
"massachusetts", "01/08/22", "21,728"
"massachusetts", "05/18/22", "4,426"
"wisconsin", "07/24/20", "847"
"wisconsin", "11/13/20", "6,211"
"wisconsin", "04/09/21", "847"
"wisconsin", "09/22/21", "3,127"
"wisconsin", "01/19/22", "21,228"
"wisconsin", "05/11/22", "2,325"
"texas", "07/16/20", "9,321"
"texas", "09/23/20", "6,390"
"texas", "01/14/21", "20,978"
"texas", "09/02/21", "18,647"
"texas", "01/15/22", "64,112"
"texas", "06/24/22", "9,579"
"nebraska", "05/03/20", "367"
"nebraska", "08/01/20", "259"
"nebraska", "11/18/20", "2,154"
"nebraska", "04/02/21", "423"
"nebraska", "09/01/21", "807"
"nebraska", "01/19/22", "4,163"
"nebraska", "03/02/22", "3,232"
"nebraska", "06/08/22", "463"
"utah", "07/11/20", "583"
"utah", "11/20/20", "3,057"
"utah", "01/05/21", "2,958"
"utah", "09/15/21", "1,573"
"utah", "11/15/21", "1,674"
"utah", "01/19/22", "10,808"
"utah", "06/07/22", "1,072"
"oregon", "04/03/20", "66"
"oregon", "05/07/20", "69"
"oregon", "07/19/20", "304"
"oregon", "12/05/20", "1,307"
"oregon", "04/24/21", "750"
"oregon", "09/01/21", "2,210"
"oregon", "01/19/22", "8,214"
"oregon", "05/25/22", "1,583"
"florida", "04/05/20", "996"
"florida", "07/15/20", "10,390"
"florida", "01/05/21", "15,201"
"florida", "04/16/21", "6,151"
"florida", "08/19/21", "23,314"
"florida", "01/06/22", "66,669"
"florida", "06/23/22", "12,131"
"new_york", "04/09/20", "8,415"
"new_york", "07/16/20", "658"
"new_york", "01/09/21", "14,499"
"new_york", "03/27/21", "9,061"
"new_york", "09/19/21", "4,695"
