"state", "date_peak", "cases_peak"
"afghanistan", "06/05/20", "656"
"afghanistan", "12/17/20", "215"
"afghanistan", "06/20/21", "1,780"
"afghanistan", "11/23/21", "47"
"afghanistan", "02/09/22", "604"
"afghanistan", "06/16/22", "101"
"albania", "04/23/20", "21"
"albania", "12/11/20", "692"
"albania", "02/12/21", "969"
"albania", "09/03/21", "809"
"albania", "11/10/21", "574"
"albania", "01/21/22", "2,059"
"albania", "06/24/22", "233"
"algeria", "05/24/20", "165"
"algeria", "07/27/20", "535"
"algeria", "11/25/20", "913"
"algeria", "07/28/21", "1,332"
"algeria", "01/25/22", "1,910"
"algeria", "06/23/22", "8"
"angola", "04/06/20", "2"
"angola", "10/24/20", "228"
"angola", "01/15/21", "89"
"angola", "05/26/21", "256"
"angola", "10/04/21", "552"
"angola", "12/31/21", "1,595"
"angola", "05/28/22", "47"
"argentina", "10/22/20", "13,094"
"argentina", "01/07/21", "10,527"
"argentina", "05/20/21", "29,628"
"argentina", "01/13/22", "102,683"
"argentina", "06/17/22", "9,268"
"armenia", "06/27/20", "589"
"armenia", "10/30/20", "1,921"
"armenia", "03/26/21", "871"
"armenia", "10/23/21", "1,759"
"armenia", "02/04/22", "3,166"
"armenia", "06/18/22", "9"
"australia", "01/30/20", "1"
"australia", "03/28/20", "331"
"australia", "08/01/20", "450"
"australia", "12/21/20", "24"
"australia", "04/25/21", "22"
"australia", "10/07/21", "2,009"
"australia", "01/13/22", "97,261"
"australia", "03/30/22", "50,422"
"australia", "05/18/22", "45,770"
"australia", "06/22/22", "25,376"
"austria", "03/27/20", "664"
"austria", "11/13/20", "6,268"
"austria", "03/28/21", "2,769"
"austria", "11/21/21", "12,311"
"austria", "02/05/22", "29,340"
"austria", "03/19/22", "41,036"
"austria", "06/22/22", "7,236"
"azerbaijan", "04/07/20", "69"
"azerbaijan", "07/01/20", "482"
"azerbaijan", "12/11/20", "3,730"
"azerbaijan", "04/09/21", "2,023"
"azerbaijan", "08/27/21", "3,364"
"azerbaijan", "11/05/21", "2,102"
"azerbaijan", "02/08/22", "6,043"
"azerbaijan", "06/20/22", "40"
"bahrain", "06/25/20", "500"
"bahrain", "09/15/20", "621"
"bahrain", "02/13/21", "683"
"bahrain", "05/27/21", "2,522"
"bahrain", "08/13/21", "108"
