"state", "date_peak", "cases_peak"
"afghanistan", "06/05/20", "16"
"afghanistan", "12/17/20", "5"
"afghanistan", "06/20/21", "44"
"afghanistan", "11/22/21", "1"
"afghanistan", "02/09/22", "15"
"afghanistan", "07/24/22", "4"
"albania", "04/23/20", "8"
"albania", "12/11/20", "242"
"albania", "02/12/21", "340"
"albania", "09/03/21", "283"
"albania", "11/10/21", "201"
"albania", "01/21/22", "721"
"albania", "07/18/22", "456"
"algeria", "05/16/20", "4"
"algeria", "07/26/20", "12"
"algeria", "11/23/20", "21"
"algeria", "07/28/21", "30"
"algeria", "01/25/22", "43"
"algeria", "07/24/22", "1"
"angola", "10/24/20", "7"
"angola", "01/15/21", "3"
"angola", "05/26/21", "7"
"angola", "10/04/21", "16"
"angola", "12/31/21", "46"
"angola", "05/28/22", "1"
"angola", "06/26/22", "6"
"argentina", "10/22/20", "289"
"argentina", "01/07/21", "233"
"argentina", "05/20/21", "654"
"argentina", "01/13/22", "2,268"
"argentina", "06/17/22", "205"
"argentina", "07/22/22", "132"
"armenia", "06/27/20", "211"
"armenia", "10/30/20", "688"
"armenia", "03/26/21", "312"
"armenia", "10/23/21", "630"
"armenia", "02/04/22", "1,134"
"armenia", "07/23/22", "49"
"australia", "03/28/20", "13"
"australia", "08/02/20", "17"
"australia", "12/20/20", "1"
"australia", "04/25/21", "1"
"australia", "10/07/21", "77"
"australia", "01/13/22", "3,752"
"australia", "03/30/22", "1,945"
"australia", "05/18/22", "1,766"
"australia", "07/21/22", "1,610"
"austria", "03/28/20", "74"
"austria", "11/13/20", "703"
"austria", "03/28/21", "310"
"austria", "11/21/21", "1,380"
"austria", "02/05/22", "3,288"
"austria", "03/19/22", "4,599"
"austria", "07/20/22", "1,373"
"azerbaijan", "04/07/20", "7"
"azerbaijan", "07/01/20", "47"
"azerbaijan", "12/11/20", "362"
"azerbaijan", "04/09/21", "196"
"azerbaijan", "08/27/21", "326"
"azerbaijan", "11/05/21", "204"
"azerbaijan", "02/08/22", "586"
"azerbaijan", "07/21/22", "38"
"bahrain", "06/25/20", "342"
"bahrain", "09/15/20", "425"
"bahrain", "02/13/21", "467"
"bahrain", "05/27/21", "1,723"
"bahrain", "08/13/21", "74"
"bahrain", "02/04/22", "4,540"
"bahrain", "06/22/22", "1,101"
"bangladesh", "06/28/20", "19"
"bangladesh", "11/25/20", "11"
"bangladesh", "04/07/21", "37"
"bangladesh", "07/28/21", "73"
"bangladesh", "01/26/22", "75"
"bangladesh", "06/29/22", "10"
"belarus", "05/15/20", "86"
"belarus", "01/16/21", "174"
"belarus", "04/23/21", "117"
"belarus", "05/19/21", "128"
"belarus", "10/23/21", "185"
"belarus", "02/12/22", "740"
"belarus", "07/03/22", "167"
"belgium", "04/18/20", "109"
"belgium", "08/08/20", "49"
"belgium", "10/29/20", "1,331"
"belgium", "01/29/21", "188"
"belgium", "03/24/21", "403"
"belgium", "12/01/21", "1,548"
"belgium", "01/26/22", "4,413"
"belgium", "03/22/22", "925"
"belgium", "07/09/22", "674"
