"state", "date_peak", "cases_peak"
"washington", "04/08/20", "24"
"washington", "08/16/20", "15"
"washington", "12/03/20", "34"
"washington", "12/29/20", "36"
"washington", "05/19/21", "12"
"washington", "06/23/21", "12"
"washington", "09/29/21", "41"
"washington", "02/05/22", "48"
"illinois", "05/08/20", "108"
"illinois", "12/03/20", "162"
"illinois", "05/01/21", "31"
"illinois", "09/15/21", "47"
"illinois", "01/26/22", "142"
"california", "04/23/20", "74"
"california", "07/30/20", "131"
"california", "01/28/21", "511"
"california", "09/16/21", "119"
"california", "02/10/22", "189"
"arizona", "05/08/20", "25"
"arizona", "07/23/20", "74"
"arizona", "01/15/21", "160"
"arizona", "05/21/21", "13"
"arizona", "09/21/21", "50"
"arizona", "12/17/21", "68"
"arizona", "01/28/22", "83"
"arizona", "03/14/22", "64"
"massachusetts", "04/24/20", "156"
"massachusetts", "01/05/21", "69"
"massachusetts", "09/29/21", "15"
"massachusetts", "01/22/22", "74"
"massachusetts", "03/18/22", "7"
"wisconsin", "04/08/20", "10"
"wisconsin", "05/29/20", "11"
"wisconsin", "07/30/20", "8"
"wisconsin", "12/04/20", "65"
"wisconsin", "04/26/21", "14"
"wisconsin", "06/02/21", "18"
"wisconsin", "12/22/21", "50"
"wisconsin", "01/26/22", "49"
"wisconsin", "03/26/22", "36"
"texas", "05/14/20", "31"
"texas", "07/30/20", "341"
"texas", "01/22/21", "313"
"texas", "09/24/21", "284"
"texas", "02/11/22", "211"
"nebraska", "05/14/20", "5"
"nebraska", "12/02/20", "26"
"nebraska", "04/11/21", "7"
"nebraska", "05/31/21", "17"
"nebraska", "07/17/21", "2"
"nebraska", "09/29/21", "27"
"nebraska", "12/09/21", "12"
"nebraska", "01/06/22", "19"
"nebraska", "03/30/22", "16"
"utah", "05/08/20", "2"
"utah", "07/23/20", "5"
"utah", "12/11/20", "15"
"utah", "01/24/21", "14"
"utah", "05/13/21", "5"
"utah", "06/28/21", "5"
"utah", "09/22/21", "12"
"utah", "11/17/21", "12"
"utah", "11/18/21", "12"
"utah", "01/05/22", "14"
"utah", "03/23/22", "20"
"oregon", "04/09/20", "3"
"oregon", "07/31/20", "6"
"oregon", "12/17/20", "26"
"oregon", "01/14/21", "28"
"oregon", "05/13/21", "8"
"oregon", "10/10/21", "26"
"oregon", "11/22/21", "33"
"oregon", "01/26/22", "21"
"oregon", "03/09/22", "23"
