"state", "date_peak", "cases_peak"
"afghanistan", "06/23/20", "1"
"afghanistan", "09/14/20", "0"
"afghanistan", "12/02/20", "0"
"afghanistan", "06/20/21", "2"
"afghanistan", "10/04/21", "0"
"afghanistan", "12/13/21", "0"
"afghanistan", "02/11/22", "0"
"albania", "03/29/20", "1"
"albania", "08/04/20", "2"
"albania", "08/31/20", "2"
"albania", "12/07/20", "5"
"albania", "03/03/21", "6"
"albania", "09/28/21", "4"
"albania", "02/02/22", "2"
"algeria", "04/03/20", "0"
"algeria", "06/06/20", "0"
"algeria", "07/12/20", "0"
"algeria", "11/18/20", "0"
"algeria", "02/28/21", "0"
"algeria", "04/24/21", "0"
"algeria", "07/30/21", "1"
"algeria", "12/31/21", "0"
"angola", "07/22/20", "0"
"angola", "09/12/20", "0"
"angola", "12/14/20", "0"
"angola", "02/07/21", "0"
"angola", "05/20/21", "0"
"angola", "09/21/21", "0"
"angola", "11/22/21", "0"
"angola", "01/09/22", "0"
"argentina", "09/29/20", "16"
"argentina", "01/21/21", "4"
"argentina", "06/10/21", "12"
"argentina", "01/27/22", "5"
"armenia", "06/24/20", "4"
"armenia", "11/13/20", "9"
"armenia", "04/20/21", "6"
"armenia", "11/12/21", "15"
"armenia", "02/17/22", "7"
"australia", "04/01/20", "0"
"australia", "09/02/20", "1"
"australia", "09/27/21", "1"
"australia", "01/27/22", "3"
"australia", "03/31/22", "3"
"austria", "04/08/20", "2"
"austria", "12/18/20", "13"
"austria", "04/08/21", "3"
"austria", "12/03/21", "6"
"austria", "03/31/22", "5"
"azerbaijan", "07/04/20", "1"
"azerbaijan", "12/10/20", "4"
"azerbaijan", "04/07/21", "3"
"azerbaijan", "08/31/21", "4"
"azerbaijan", "11/04/21", "2"
"azerbaijan", "02/16/22", "2"
"bahrain", "03/23/20", "0"
"bahrain", "06/29/20", "2"
"bahrain", "10/11/20", "2"
"bahrain", "03/03/21", "2"
"bahrain", "06/04/21", "11"
"bahrain", "08/21/21", "0"
"bahrain", "09/21/21", "0"
"bahrain", "11/18/21", "0"
"bahrain", "02/25/22", "1"
"bangladesh", "06/04/20", "0"
"bangladesh", "08/10/20", "0"
"bangladesh", "11/23/20", "0"
"bangladesh", "04/17/21", "1"
"bangladesh", "07/28/21", "1"
"bangladesh", "11/16/21", "0"
"bangladesh", "02/05/22", "0"
"belarus", "05/10/20", "1"
"belarus", "08/23/20", "1"
"belarus", "12/15/20", "1"
"belarus", "04/01/21", "1"
"belarus", "06/30/21", "1"
"belarus", "10/03/21", "2"
"belarus", "12/09/21", "2"
"belgium", "04/10/20", "24"
"belgium", "08/13/20", "1"
"belgium", "11/12/20", "15"
"belgium", "04/06/21", "3"
"belgium", "12/16/21", "5"
"belgium", "02/09/22", "5"
"benin", "06/19/20", "0"
"benin", "08/02/20", "0"
"benin", "01/29/21", "0"
"benin", "05/01/21", "0"
"benin", "08/08/21", "0"
"benin", "01/10/22", "0"
"bolivia", "09/05/20", "24"
"bolivia", "02/03/21", "4"
