"state", "date_peak", "cases_peak"
"albania", "04/28/20", "3"
"albania", "05/29/20", "6"
"albania", "06/28/20", "8"
"albania", "07/29/20", "21"
"albania", "08/29/20", "39"
"albania", "09/28/20", "23"
"albania", "10/29/20", "38"
"albania", "11/28/20", "105"
"albania", "12/29/20", "56"
"albania", "02/26/21", "91"
"albania", "03/29/21", "74"
"albania", "04/28/21", "35"
"albania", "05/29/21", "10"
"albania", "06/28/21", "11"
"albania", "08/29/21", "19"
"albania", "09/28/21", "50"
"albania", "10/29/21", "46"
"albania", "11/28/21", "38"
"albania", "12/29/21", "37"
"albania", "01/29/22", "43"
"albania", "02/26/22", "40"
"algeria", "04/28/20", "1"
"algeria", "07/29/20", "55"
"algeria", "08/29/20", "26"
"algeria", "09/28/20", "9"
"algeria", "11/28/20", "34"
"algeria", "12/29/20", "16"
"argentina", "02/27/20", "2"
"argentina", "08/29/20", "16"
"argentina", "09/28/20", "35"
"argentina", "10/29/20", "40"
"argentina", "11/28/20", "28"
"armenia", "02/27/20", "9"
"armenia", "04/28/20", "4"
"armenia", "06/28/20", "48"
"armenia", "07/29/20", "36"
"armenia", "10/29/20", "85"
"armenia", "11/28/20", "199"
"armenia", "12/29/20", "106"
"armenia", "02/26/21", "12"
"armenia", "03/29/21", "29"
"armenia", "04/28/21", "68"
"armenia", "05/29/21", "29"
"armenia", "06/28/21", "21"
"armenia", "07/29/21", "14"
"armenia", "08/29/21", "18"
"armenia", "09/28/21", "48"
"armenia", "10/29/21", "79"
"armenia", "11/28/21", "125"
"armenia", "12/29/21", "37"
"armenia", "02/26/22", "56"
"armenia", "03/29/22", "24"
"armenia", "05/29/22", "4"
"australia", "02/28/20", "1"
"australia", "04/03/20", "1"
"australia", "11/13/20", "1"
"australia", "01/22/21", "1"
"australia", "03/19/21", "1"
"australia", "05/07/21", "1"
"australia", "11/19/21", "1"
"australia", "01/21/22", "5"
"austria", "04/03/20", "4"
"austria", "07/03/20", "2"
"austria", "08/14/20", "2"
"austria", "12/04/20", "15"
"austria", "04/30/21", "3"
"austria", "06/25/21", "4"
"austria", "09/10/21", "4"
"austria", "12/03/21", "10"
"austria", "03/25/22", "6"
"austria", "06/24/22", "3"
"azerbaijan", "03/29/20", "14"
"azerbaijan", "06/28/20", "27"
"azerbaijan", "07/29/20", "22"
"azerbaijan", "08/29/20", "6"
"azerbaijan", "11/28/20", "52"
"azerbaijan", "12/29/20", "134"
"azerbaijan", "03/29/21", "14"
"azerbaijan", "04/28/21", "34"
"azerbaijan", "05/29/21", "10"
"azerbaijan", "06/28/21", "14"
"azerbaijan", "08/29/21", "27"
"azerbaijan", "09/28/21", "47"
"azerbaijan", "10/29/21", "21"
"azerbaijan", "11/28/21", "42"
"azerbaijan", "12/29/21", "32"
"azerbaijan", "01/29/22", "10"
"azerbaijan", "02/26/22", "22"
"azerbaijan", "03/29/22", "21"
"belarus", "04/28/20", "9"
"belarus", "05/29/20", "24"
"belarus", "06/28/20", "54"
"belarus", "07/29/20", "18"
"belarus", "08/29/20", "17"
"belarus", "09/28/20", "22"
"belarus", "10/29/20", "34"
"belarus", "11/28/20", "89"
"belarus", "12/29/20", "109"
"belarus", "01/29/21", "69"
"belarus", "02/26/21", "38"
"belgium", "04/10/20", "27"
"belgium", "08/14/20", "13"
"belgium", "11/06/20", "21"
"belgium", "05/07/21", "3"
"belgium", "07/23/21", "1"
"belgium", "09/10/21", "2"
"belgium", "12/03/21", "8"
"belgium", "02/04/22", "2"
"belgium", "04/08/22", "5"
"belgium", "06/17/22", "2"
"bolivia", "03/29/20", "10"
"bolivia", "06/28/20", "52"
"bolivia", "07/29/20", "134"
"bolivia", "08/29/20", "45"
"bolivia", "10/29/20", "7"
"bolivia", "11/28/20", "5"
"bolivia", "01/29/21", "64"
"bolivia", "02/26/21", "39"
"bolivia", "03/29/21", "19"
"bolivia", "04/28/21", "16"
"bolivia", "05/29/21", "53"
"bolivia", "06/28/21", "70"
"bolivia", "07/29/21", "35"
"bolivia", "08/29/21", "18"
"bolivia", "09/28/21", "9"
"bolivia", "10/29/21", "7"
"bolivia", "11/28/21", "11"
"bolivia", "12/29/21", "24"
"bolivia", "01/29/22", "61"
"bosnia_and_herzegovina", "04/28/20", "9"
"bosnia_and_herzegovina", "06/28/20", "8"
"bosnia_and_herzegovina", "07/29/20", "11"
"bosnia_and_herzegovina", "08/29/20", "21"
"bosnia_and_herzegovina", "09/28/20", "34"
"bosnia_and_herzegovina", "11/28/20", "108"
"bosnia_and_herzegovina", "12/29/20", "126"
"bosnia_and_herzegovina", "03/29/21", "63"
"bosnia_and_herzegovina", "04/28/21", "134"
"bosnia_and_herzegovina", "05/29/21", "54"
"bosnia_and_herzegovina", "06/28/21", "23"
"bosnia_and_herzegovina", "07/29/21", "12"
"bosnia_and_herzegovina", "09/28/21", "49"
"bosnia_and_herzegovina", "10/29/21", "49"
"bosnia_and_herzegovina", "11/28/21", "74"
"bosnia_and_herzegovina", "12/29/21", "70"
"bosnia_and_herzegovina", "02/26/22", "78"
"bosnia_and_herzegovina", "03/29/22", "26"
"brazil", "02/29/20", "5"
"brazil", "03/29/20", "5"
"brazil", "04/28/20", "9"
"brazil", "05/29/20", "25"
"brazil", "06/28/20", "15"
"brazil", "07/29/20", "16"
"brazil", "08/29/20", "17"
"brazil", "09/28/20", "12"
"brazil", "10/29/20", "12"
"brazil", "11/28/20", "12"
"brazil", "12/29/20", "19"
"brazil", "01/29/21", "26"
"brazil", "02/26/21", "23"
"brazil", "03/29/21", "63"
"brazil", "04/28/21", "55"
"brazil", "05/29/21", "41"
"brazil", "06/28/21", "34"
"brazil", "07/29/21", "22"
"brazil", "08/29/21", "16"
"brazil", "09/28/21", "9"
"brazil", "10/29/21", "7"
"brazil", "11/28/21", "7"
"brazil", "12/29/21", "9"
"brazil", "01/29/22", "29"
"brazil", "02/26/22", "23"
"brazil", "03/29/22", "11"
"brazil", "05/29/22", "6"
"bulgaria", "05/15/20", "3"
"bulgaria", "07/03/20", "5"
"bulgaria", "07/31/20", "5"
"bulgaria", "11/27/20", "55"
"bulgaria", "04/02/21", "40"
"bulgaria", "06/25/21", "7"
"bulgaria", "11/05/21", "44"
"bulgaria", "02/11/22", "28"
"canada", "04/24/20", "5"
"canada", "07/10/20", "1"
"canada", "08/14/20", "1"
"canada", "09/25/20", "1"
"canada", "01/01/21", "3"
"canada", "05/21/21", "1"
"canada", "07/02/21", "3"
"canada", "09/10/21", "2"
"canada", "01/21/22", "3"
"chile", "03/20/20", "1"
"chile", "06/05/20", "11"
"chile", "08/21/20", "2"
"chile", "10/09/20", "2"
"chile", "01/22/21", "5"
"chile", "04/02/21", "6"
"chile", "05/21/21", "6"
"chile", "02/18/22", "9"
"chile", "06/03/22", "4"
"colombia", "03/09/20", "1"
"colombia", "07/31/20", "10"
"colombia", "10/23/20", "5"
"colombia", "01/15/21", "10"
"colombia", "06/18/21", "16"
"colombia", "09/24/21", "1"
"colombia", "01/28/22", "9"
"colombia", "05/06/22", "1"
"colombia", "07/08/22", "2"
"costa_rica", "09/28/20", "13"
"costa_rica", "10/29/20", "9"
"costa_rica", "11/28/20", "4"
"costa_rica", "12/29/20", "15"
"costa_rica", "01/29/21", "11"
"costa_rica", "03/29/21", "4"
"costa_rica", "05/29/21", "24"
"costa_rica", "06/28/21", "13"
"costa_rica", "07/29/21", "9"
"costa_rica", "08/29/21", "16"
"costa_rica", "09/28/21", "29"
"costa_rica", "10/29/21", "21"
"croatia", "03/27/20", "4"
"croatia", "06/12/20", "2"
"croatia", "07/31/20", "4"
"croatia", "09/11/20", "4"
"croatia", "12/18/20", "27"
"croatia", "04/23/21", "14"
"croatia", "09/17/21", "8"
"croatia", "11/26/21", "28"
"croatia", "02/04/22", "16"
"croatia", "04/15/22", "4"
"cuba", "03/29/20", "9"
"cuba", "04/28/20", "7"
"cuba", "12/29/20", "18"
"cuba", "01/29/21", "23"
"cuba", "02/26/21", "17"
"cuba", "03/29/21", "14"
"cuba", "04/28/21", "17"
"cuba", "05/29/21", "17"
"cuba", "07/29/21", "106"
"cuba", "08/29/21", "240"
"cuba", "09/28/21", "175"
"cuba", "12/29/21", "4"
"czechia", "04/03/20", "2"
"czechia", "06/05/20", "2"
"czechia", "07/31/20", "2"
"czechia", "11/06/20", "29"
"czechia", "01/08/21", "19"
"czechia", "03/12/21", "21"
