"state", "date_peak", "cases_peak"
"australia", "04/02/20", "3"
"australia", "08/05/20", "1"
"australia", "11/16/20", "0"
"australia", "12/31/20", "0"
"australia", "03/01/21", "0"
"australia", "04/20/21", "0"
"australia", "08/24/21", "2"
"australia", "01/08/22", "7"
"australia", "04/02/22", "2"
"australia", "07/17/22", "5"
"austria", "03/30/20", "17"
"austria", "07/15/20", "0"
"austria", "11/04/20", "17"
"austria", "03/24/21", "5"
"austria", "09/15/21", "3"
"austria", "11/17/21", "9"
"austria", "02/02/22", "7"
"austria", "03/14/22", "5"
"austria", "07/18/22", "5"
"belgium", "03/28/20", "33"
"belgium", "07/21/20", "1"
"belgium", "10/24/20", "28"
"belgium", "03/29/21", "6"
"belgium", "08/15/21", "1"
"belgium", "11/20/21", "8"
"belgium", "01/26/22", "11"
"belgium", "03/23/22", "6"
"belgium", "07/10/22", "6"
"bolivia", "05/11/21", "17"
"bolivia", "08/11/21", "0"
"bolivia", "10/23/21", "3"
"bolivia", "01/07/22", "5"
"bolivia", "05/20/22", "1"
"bolivia", "07/12/22", "1"
"bulgaria", "04/06/20", "5"
"bulgaria", "06/23/20", "2"
"bulgaria", "08/01/20", "3"
"bulgaria", "11/13/20", "28"
"bulgaria", "03/19/21", "30"
"bulgaria", "08/27/21", "19"
"bulgaria", "10/29/21", "20"
"bulgaria", "01/06/22", "18"
"bulgaria", "07/20/22", "6"
"canada", "04/05/20", "3"
"canada", "10/07/20", "1"
"canada", "12/30/20", "3"
"canada", "04/08/21", "3"
"canada", "09/09/21", "2"
"canada", "01/13/22", "12"
"canada", "04/20/22", "4"
"canada", "07/14/22", "4"
"croatia", "04/14/20", "13"
"croatia", "06/28/20", "2"
"croatia", "08/30/20", "3"
"croatia", "11/18/20", "12"
"croatia", "04/04/21", "13"
"croatia", "08/24/21", "5"
"croatia", "11/14/21", "15"
"croatia", "01/25/22", "7"
"croatia", "03/30/22", "2"
"croatia", "07/12/22", "5"
"czechia", "03/26/20", "2"
"czechia", "06/13/20", "0"
"czechia", "07/25/20", "0"
"czechia", "10/28/20", "31"
"czechia", "01/05/21", "26"
"czechia", "02/24/21", "18"
"czechia", "07/18/21", "0"
"czechia", "11/17/21", "18"
"czechia", "02/02/22", "16"
"czechia", "03/16/22", "2"
"czechia", "07/20/22", "6"
"denmark", "03/31/20", "13"
"denmark", "08/05/20", "0"
"denmark", "09/22/20", "1"
"denmark", "11/13/20", "2"
"denmark", "12/19/20", "7"
"denmark", "03/24/21", "1"
"denmark", "05/12/21", "0"
"denmark", "08/10/21", "1"
"denmark", "10/24/21", "2"
"denmark", "12/28/21", "3"
"denmark", "02/16/22", "7"
"denmark", "07/17/22", "3"
"estonia", "03/27/20", "6"
"estonia", "07/31/20", "1"
"estonia", "09/18/20", "2"
"estonia", "12/24/20", "8"
"estonia", "02/26/21", "11"
"estonia", "08/30/21", "4"
"estonia", "10/11/21", "13"
"estonia", "02/21/22", "13"
"estonia", "07/17/22", "5"
"finland", "03/28/20", "4"
"finland", "06/19/20", "0"
"finland", "10/14/20", "1"
"finland", "12/08/20", "3"
"finland", "02/24/21", "2"
"finland", "05/17/21", "1"
"finland", "07/31/21", "1"
"finland", "10/09/21", "1"
"finland", "11/20/21", "1"
"finland", "01/10/22", "6"
"finland", "03/05/22", "4"
"finland", "07/10/22", "5"
"france", "03/28/20", "23"
"france", "10/28/20", "14"
"france", "01/25/21", "3"
"france", "04/05/21", "5"
"france", "08/11/21", "2"
"france", "12/09/21", "5"
"france", "01/19/22", "8"
"france", "04/10/22", "4"
"france", "07/14/22", "4"
"hungary", "04/10/20", "8"
"hungary", "11/02/20", "25"
"hungary", "03/15/21", "29"
"hungary", "11/10/21", "22"
"hungary", "02/02/22", "17"
"hungary", "04/10/22", "0"
"ireland", "03/28/20", "10"
"ireland", "10/11/20", "2"
"ireland", "01/10/21", "22"
"ireland", "05/22/21", "1"
"ireland", "08/23/21", "2"
"ireland", "10/16/21", "2"
"ireland", "11/10/21", "3"
"ireland", "01/02/22", "9"
"ireland", "03/21/22", "10"
"ireland", "07/09/22", "6"
"israel", "03/30/20", "5"
"israel", "07/07/20", "3"
"israel", "09/27/20", "5"
"israel", "01/05/21", "7"
"israel", "08/13/21", "5"
"israel", "01/15/22", "14"
"israel", "03/29/22", "2"
"israel", "06/24/22", "7"
"italy", "03/20/20", "24"
"italy", "11/06/20", "18"
"italy", "01/10/21", "1"
"italy", "03/15/21", "9"
"italy", "08/03/21", "2"
"italy", "01/09/22", "10"
"italy", "03/30/22", "2"
"italy", "07/03/22", "4"
"japan", "04/26/20", "6"
"japan", "07/27/20", "1"
"japan", "11/23/20", "2"
"japan", "01/04/21", "2"
"japan", "04/19/21", "2"
"japan", "08/02/21", "5"
"japan", "01/24/22", "7"
"japan", "04/11/22", "1"
"japan", "05/16/22", "0"
"japan", "07/18/22", "7"
"latvia", "04/01/20", "2"
"latvia", "08/01/20", "0"
"latvia", "12/06/20", "15"
"latvia", "04/06/21", "7"
"latvia", "10/23/21", "22"
"latvia", "02/02/22", "17"
"latvia", "04/18/22", "1"
"lithuania", "11/11/20", "41"
"lithuania", "04/06/21", "8"
"lithuania", "10/22/21", "12"
"lithuania", "12/14/21", "4"
"lithuania", "02/01/22", "13"
"lithuania", "07/05/22", "1"
"malaysia", "03/27/20", "6"
"malaysia", "06/02/20", "0"
"malaysia", "07/31/20", "0"
"malaysia", "10/06/20", "2"
"malaysia", "11/26/20", "4"
"malaysia", "01/13/21", "3"
"malaysia", "05/22/21", "8"
"malaysia", "07/17/21", "10"
"malaysia", "11/11/21", "3"
"malaysia", "02/11/22", "8"
"malaysia", "06/30/22", "2"
"netherlands", "03/22/20", "13"
"netherlands", "08/11/20", "0"
"netherlands", "10/21/20", "3"
"netherlands", "12/29/20", "3"
"netherlands", "04/28/21", "2"
"netherlands", "07/18/21", "1"
"netherlands", "10/31/21", "3"
"netherlands", "01/31/22", "2"
"netherlands", "03/12/22", "3"
"netherlands", "07/12/22", "2"
"norway", "03/25/20", "4"
"norway", "06/15/20", "0"
"norway", "08/01/20", "0"
"norway", "11/15/20", "1"
"norway", "01/12/21", "1"
"norway", "03/13/21", "2"
"norway", "08/24/21", "1"
"norway", "10/30/21", "2"
"norway", "12/15/21", "2"
"norway", "02/20/22", "4"
"poland", "04/11/20", "9"
"poland", "06/16/20", "1"
"poland", "07/30/20", "1"
"poland", "10/29/20", "16"
"poland", "12/30/20", "1"
"poland", "03/25/21", "19"
"poland", "11/12/21", "13"
"poland", "02/03/22", "10"
"poland", "07/18/22", "2"
"portugal", "03/31/20", "10"
"portugal", "06/28/20", "1"
"portugal", "11/01/20", "8"
"portugal", "01/16/21", "16"
"portugal", "07/13/21", "2"
"portugal", "09/01/21", "0"
"portugal", "11/30/21", "3"
"portugal", "01/22/22", "6"
"portugal", "05/22/22", "6"
"romania", "03/07/21", "62"
"romania", "09/30/21", "31"
"romania", "01/25/22", "23"
"romania", "07/22/22", "10"
"serbia", "04/11/20", "31"
"serbia", "07/13/20", "32"
"serbia", "11/20/20", "47"
"serbia", "03/21/21", "28"
"serbia", "09/18/21", "30"
"serbia", "02/01/22", "14"
"serbia", "07/21/22", "5"
"slovakia", "04/12/20", "1"
"slovakia", "07/29/20", "1"
"slovakia", "10/24/20", "10"
"slovakia", "01/04/21", "10"
"slovakia", "02/16/21", "12"
"slovakia", "10/27/21", "17"
"slovakia", "02/08/22", "15"
"slovakia", "07/11/22", "9"
"slovenia", "03/25/20", "3"
"slovenia", "07/08/20", "1"
"slovenia", "11/03/20", "22"
"slovenia", "01/13/21", "8"
