"state", "date_peak", "cases_peak"
"algeria", "07/16/20", "10"
"algeria", "09/04/20", "2"
"algeria", "10/28/20", "3"
"algeria", "12/11/20", "1"
"algeria", "01/20/21", "2"
"algeria", "02/26/21", "1"
"algeria", "03/26/21", "2"
"algeria", "05/27/21", "2"
"algeria", "08/06/21", "3"
"algeria", "08/07/21", "2"
"algeria", "11/04/21", "1"
"algeria", "12/24/21", "2"
"algeria", "01/19/22", "2"
"algeria", "03/24/22", "0"
"algeria", "05/15/22", "0"
"algeria", "07/13/22", "0"
"argentina", "07/04/20", "97"
"argentina", "09/09/20", "91"
"argentina", "12/30/20", "25"
"argentina", "04/21/21", "118"
"argentina", "05/28/21", "119"
"argentina", "01/06/22", "107"
"australia", "04/03/20", "14"
"australia", "07/11/20", "3"
"australia", "09/04/20", "1"
"australia", "12/11/20", "0"
"australia", "01/13/21", "0"
"australia", "02/06/21", "0"
"australia", "03/17/21", "0"
"australia", "05/09/21", "0"
"australia", "07/25/21", "4"
"australia", "09/01/21", "8"
"australia", "01/05/22", "14"
"australia", "04/17/22", "5"
"australia", "07/03/22", "6"
"austria", "04/04/20", "36"
"austria", "08/04/20", "1"
"austria", "11/04/20", "24"
"austria", "03/27/21", "14"
"austria", "08/30/21", "7"
"austria", "11/20/21", "15"
"austria", "02/04/22", "4"
"austria", "03/14/22", "6"
"austria", "07/14/22", "4"
"belgium", "03/27/20", "82"
"belgium", "07/25/20", "3"
"belgium", "10/27/20", "61"
"belgium", "03/27/21", "20"
"belgium", "09/04/21", "6"
"belgium", "11/30/21", "20"
"belgium", "01/31/22", "10"
"belgium", "04/03/22", "3"
"belgium", "07/15/22", "4"
"bolivia", "05/11/21", "22"
"bolivia", "08/11/21", "2"
"bolivia", "10/23/21", "6"
"bolivia", "11/18/21", "3"
"bolivia", "01/17/22", "6"
"bolivia", "04/27/22", "2"
"bolivia", "07/06/22", "2"
"bulgaria", "04/09/20", "5"
"bulgaria", "06/28/20", "3"
"bulgaria", "08/10/20", "3"
"bulgaria", "11/21/20", "17"
"bulgaria", "03/18/21", "24"
"bulgaria", "08/26/21", "14"
"bulgaria", "10/22/21", "13"
"bulgaria", "01/09/22", "15"
"bulgaria", "02/06/22", "13"
"bulgaria", "07/22/22", "2"
"canada", "04/05/20", "47"
"canada", "08/02/20", "3"
"canada", "10/11/20", "7"
"canada", "12/11/20", "14"
"canada", "04/19/21", "30"
"canada", "09/06/21", "18"
"canada", "01/06/22", "41"
"canada", "04/12/22", "10"
"canada", "07/06/22", "5"
"chile", "04/04/20", "47"
"chile", "05/25/20", "44"
"chile", "09/20/20", "3"
