"state", "date_peak", "cases_peak"
"algeria", "07/15/20", "0"
"argentina", "07/03/20", "2"
"argentina", "09/09/20", "2"
"argentina", "12/30/20", "1"
"argentina", "04/20/21", "3"
"argentina", "05/28/21", "3"
"argentina", "01/08/22", "2"
"australia", "03/29/20", "0"
"australia", "07/11/20", "0"
"australia", "07/16/21", "0"
"australia", "09/06/21", "0"
"australia", "01/03/22", "1"
"australia", "04/17/22", "0"
"australia", "06/12/22", "0"
"austria", "04/01/20", "4"
"austria", "06/22/20", "0"
"austria", "11/04/20", "3"
"austria", "03/27/21", "2"
"austria", "08/29/21", "1"
"austria", "11/20/21", "2"
"austria", "02/04/22", "0"
"austria", "03/14/22", "1"
"austria", "06/20/22", "0"
"belgium", "03/27/20", "7"
"belgium", "07/25/20", "0"
"belgium", "10/26/20", "5"
"belgium", "03/25/21", "2"
"belgium", "08/17/21", "1"
"belgium", "11/30/21", "2"
"belgium", "01/31/22", "1"
"belgium", "04/03/22", "0"
"belgium", "05/08/22", "0"
"bolivia", "05/11/21", "2"
"bolivia", "07/15/21", "0"
"bolivia", "10/23/21", "1"
"bolivia", "11/02/21", "0"
"bolivia", "12/16/21", "0"
"bolivia", "04/27/22", "0"
"bolivia", "06/01/22", "0"
"bulgaria", "04/09/20", "1"
"bulgaria", "06/28/20", "0"
"bulgaria", "08/10/20", "0"
"bulgaria", "11/21/20", "3"
"bulgaria", "03/17/21", "3"
"bulgaria", "08/26/21", "2"
"bulgaria", "10/22/21", "2"
"bulgaria", "01/09/22", "2"
"bulgaria", "02/06/22", "2"
"bulgaria", "06/14/22", "0"
"canada", "04/05/20", "1"
"canada", "10/11/20", "0"
"canada", "11/13/20", "0"
"canada", "04/18/21", "1"
"canada", "09/08/21", "1"
"canada", "01/06/22", "1"
"canada", "04/11/22", "0"
"chile", "04/04/20", "2"
"chile", "05/25/20", "2"
"chile", "09/07/20", "0"
"chile", "10/28/20", "0"
"chile", "01/21/21", "2"
"chile", "04/01/21", "2"
"chile", "05/30/21", "1"
"chile", "10/23/21", "1"
"chile", "02/12/22", "2"
"chile", "06/01/22", "0"
"czechia", "03/23/20", "1"
"czechia", "03/30/20", "1"
"czechia", "10/20/20", "3"
"czechia", "11/01/20", "4"
"czechia", "01/05/21", "3"
"czechia", "03/02/21", "3"
"czechia", "11/08/21", "2"
"czechia", "11/16/21", "2"
"czechia", "02/07/22", "1"
"czechia", "05/21/22", "0"
"denmark", "03/26/20", "2"
"denmark", "09/19/20", "0"
"denmark", "11/10/20", "1"
"denmark", "12/27/20", "1"
"denmark", "03/08/21", "0"
"denmark", "05/02/21", "0"
"denmark", "05/21/21", "0"
"denmark", "08/09/21", "0"
"denmark", "10/11/21", "0"
"denmark", "02/06/22", "0"
"denmark", "05/08/22", "0"
"denmark", "06/23/22", "0"
"estonia", "04/16/20", "1"
"estonia", "05/29/20", "0"
"estonia", "07/31/20", "0"
"estonia", "09/17/20", "0"
"estonia", "11/20/20", "1"
"estonia", "12/24/20", "1"
"estonia", "03/01/21", "2"
"estonia", "08/14/21", "1"
"estonia", "10/22/21", "1"
"estonia", "12/17/21", "1"
"estonia", "02/10/22", "1"
"estonia", "05/05/22", "1"
"estonia", "05/30/22", "0"
"finland", "03/28/20", "1"
"finland", "10/03/20", "0"
"finland", "11/24/20", "0"
"finland", "02/15/21", "0"
"finland", "05/14/21", "0"
"finland", "08/14/21", "0"
"finland", "09/11/21", "0"
"finland", "12/19/21", "0"
"finland", "01/09/22", "0"
"finland", "03/30/22", "0"
"finland", "06/12/22", "0"
"france", "03/30/20", "6"
"france", "11/02/20", "2"
"france", "01/27/21", "1"
"france", "04/04/21", "1"
"france", "08/03/21", "1"
"france", "12/01/21", "1"
"france", "04/13/22", "0"
"germany", "04/01/20", "2"
"germany", "07/19/20", "0"
"germany", "11/01/20", "1"
"germany", "12/13/20", "1"
"germany", "04/04/21", "1"
"germany", "08/29/21", "1"
"germany", "11/23/21", "1"
"germany", "02/05/22", "0"
"germany", "03/13/22", "0"
"germany", "06/12/22", "0"
"ireland", "03/30/20", "4"
"ireland", "06/28/20", "0"
"ireland", "09/16/20", "0"
"ireland", "01/10/21", "2"
"ireland", "05/13/21", "0"
"ireland", "08/14/21", "1"
"ireland", "10/22/21", "1"
"ireland", "11/13/21", "1"
"ireland", "01/11/22", "0"
"ireland", "02/05/22", "0"
"ireland", "03/20/22", "1"
"ireland", "04/30/22", "0"
"israel", "09/03/20", "2"
"israel", "01/06/21", "1"
"israel", "03/14/21", "0"
"israel", "08/16/21", "1"
"israel", "01/28/22", "2"
"israel", "06/15/22", "0"
"italy", "03/17/20", "3"
"italy", "11/06/20", "2"
"italy", "01/03/21", "0"
"italy", "03/12/21", "1"
"italy", "08/11/21", "0"
"italy", "01/01/22", "1"
"italy", "03/26/22", "0"
"japan", "05/05/20", "0"
"japan", "08/10/20", "0"
"japan", "11/23/20", "0"
"japan", "01/11/21", "0"
"japan", "04/19/21", "0"
"japan", "08/09/21", "1"
"japan", "01/24/22", "0"
"latvia", "01/08/21", "5"
"latvia", "04/16/21", "1"
"latvia", "10/15/21", "3"
"latvia", "01/14/22", "1"
"latvia", "02/25/22", "2"
"latvia", "04/29/22", "1"
"latvia", "05/27/22", "0"
"malaysia", "03/22/20", "0"
"malaysia", "10/07/20", "0"
"malaysia", "11/19/20", "0"
"malaysia", "01/18/21", "0"
"malaysia", "05/19/21", "1"
"malaysia", "07/07/21", "1"
"malaysia", "11/18/21", "0"
"malaysia", "02/19/22", "0"
"malaysia", "04/24/22", "0"
"netherlands", "03/25/20", "4"
"netherlands", "03/26/20", "4"
"netherlands", "10/14/20", "1"
"netherlands", "10/19/20", "1"
"netherlands", "12/29/20", "1"
"netherlands", "04/05/21", "1"
"netherlands", "11/06/21", "1"
"netherlands", "11/23/21", "1"
"netherlands", "03/21/22", "0"
"portugal", "03/30/20", "2"
"portugal", "06/10/20", "0"
"portugal", "11/06/20", "1"
"portugal", "01/23/21", "1"
"portugal", "07/13/21", "1"
"portugal", "08/22/21", "0"
"portugal", "11/22/21", "0"
"portugal", "01/05/22", "0"
"portugal", "05/15/22", "0"
"romania", "04/05/20", "2"
"romania", "07/28/20", "1"
"romania", "11/06/20", "1"
"romania", "03/12/21", "2"
"romania", "09/21/21", "2"
"romania", "01/31/22", "2"
"serbia", "04/02/20", "2"
"serbia", "07/09/20", "1"
"serbia", "11/09/20", "2"
"serbia", "03/29/21", "1"
