"state", "date_peak", "cases_peak"
"afghanistan", "02/28/20", "3"
"afghanistan", "03/26/20", "4"
"afghanistan", "09/20/20", "1"
"afghanistan", "09/21/20", "1"
"afghanistan", "03/08/21", "3"
"afghanistan", "05/21/21", "4"
"afghanistan", "05/22/21", "4"
"afghanistan", "09/14/21", "3"
"afghanistan", "09/18/21", "2"
"albania", "03/11/20", "10"
"albania", "03/14/20", "6"
"albania", "11/10/20", "2"
"albania", "11/15/20", "2"
"albania", "05/01/21", "1"
"albania", "09/28/21", "1"
"albania", "01/16/22", "3"
"albania", "01/20/22", "3"
"albania", "04/17/22", "0"
"algeria", "03/21/20", "5"
"algeria", "05/10/20", "2"
"algeria", "08/19/20", "2"
"algeria", "11/14/20", "1"
"algeria", "04/04/21", "1"
"algeria", "07/17/21", "0"
"algeria", "09/19/21", "1"
"algeria", "11/27/21", "2"
"algeria", "01/18/22", "1"
"algeria", "04/03/22", "0"
"angola", "03/25/20", "11"
"angola", "05/15/20", "1"
"angola", "05/20/20", "1"
"angola", "08/30/20", "1"
"angola", "12/01/20", "1"
"angola", "12/06/20", "1"
"angola", "03/28/21", "0"
"angola", "06/14/21", "2"
"angola", "06/15/21", "2"
"angola", "09/02/21", "1"
"angola", "11/29/21", "1"
"angola", "05/04/22", "0"
"argentina", "01/21/20", "2"
"argentina", "03/18/20", "9"
"argentina", "05/09/20", "1"
"argentina", "06/29/20", "1"
"argentina", "10/29/20", "0"
"argentina", "04/04/21", "1"
"argentina", "05/02/21", "1"
"argentina", "05/08/22", "1"
"australia", "02/01/20", "2"
"australia", "03/18/20", "4"
"australia", "03/22/20", "5"
"australia", "06/29/20", "2"
"australia", "07/04/20", "2"
"australia", "08/06/20", "1"
"australia", "11/01/20", "0"
"australia", "12/17/20", "1"
"australia", "01/30/21", "3"
"australia", "01/31/21", "3"
"australia", "03/27/21", "4"
"australia", "05/26/21", "6"
"australia", "05/28/21", "6"
"australia", "08/10/21", "0"
"australia", "08/13/21", "0"
"australia", "11/13/21", "2"
"australia", "01/15/22", "3"
"australia", "01/16/22", "3"
"australia", "03/30/22", "1"
"austria", "03/14/20", "9"
"austria", "10/15/20", "3"
"austria", "12/24/20", "2"
"austria", "02/12/21", "1"
"austria", "08/09/21", "1"
"austria", "09/16/21", "1"
"austria", "10/16/21", "1"
"austria", "11/13/21", "1"
"austria", "12/30/21", "2"
"austria", "03/19/22", "1"
"azerbaijan", "03/17/20", "4"
"azerbaijan", "06/21/20", "3"
"azerbaijan", "12/09/20", "1"
"azerbaijan", "04/03/21", "1"
"azerbaijan", "05/15/21", "1"
"azerbaijan", "07/09/21", "1"
"azerbaijan", "10/02/21", "1"
"azerbaijan", "11/29/21", "0"
"azerbaijan", "05/11/22", "0"
"bahrain", "03/20/20", "6"
"bahrain", "09/20/20", "1"
"bahrain", "01/30/21", "1"
"bahrain", "03/08/21", "1"
"bahrain", "03/21/21", "0"
"bahrain", "05/25/21", "1"
"bahrain", "07/30/21", "1"
"bahrain", "10/03/21", "0"
"bahrain", "12/17/21", "1"
"bahrain", "01/19/22", "1"
"bangladesh", "03/19/20", "10"
"bangladesh", "06/14/20", "2"
"bangladesh", "07/14/20", "1"
"bangladesh", "07/16/20", "1"
"bangladesh", "03/28/21", "0"
"bangladesh", "06/15/21", "2"
"bangladesh", "07/21/21", "8"
"bangladesh", "07/28/21", "0"
"bangladesh", "11/07/21", "1"
"bangladesh", "01/11/22", "4"
"bangladesh", "01/15/22", "3"
"belarus", "04/07/20", "3"
"belarus", "10/27/20", "1"
"belarus", "12/22/20", "1"
"belarus", "05/23/21", "0"
"belarus", "08/02/21", "2"
"belarus", "01/07/22", "1"
"belgium", "03/16/20", "8"
"belgium", "07/27/20", "2"
"belgium", "10/31/20", "2"
"belgium", "01/25/21", "0"
"belgium", "04/01/21", "2"
"belgium", "11/15/21", "1"
"benin", "03/28/20", "6"
"benin", "09/13/20", "1"
"benin", "11/07/20", "1"
"benin", "03/06/21", "2"
"benin", "04/24/21", "1"
"benin", "06/25/21", "2"
"benin", "08/30/21", "1"
"benin", "11/29/21", "1"
"benin", "02/05/22", "0"
"bolivia", "03/15/20", "9"
"bolivia", "06/18/20", "0"
"bolivia", "11/18/20", "0"
"bolivia", "12/23/20", "1"
"bolivia", "03/20/21", "1"
"bolivia", "07/11/21", "4"
"bolivia", "10/11/21", "2"
"bolivia", "12/30/21", "0"
"bolivia", "02/06/22", "2"
"bolivia", "04/03/22", "0"
"bosnia_and_herzegovina", "03/18/20", "8"
"bosnia_and_herzegovina", "03/22/20", "2"
"bosnia_and_herzegovina", "11/09/20", "1"
"bosnia_and_herzegovina", "11/11/20", "1"
"bosnia_and_herzegovina", "04/10/21", "0"
"bosnia_and_herzegovina", "11/19/21", "1"
"bosnia_and_herzegovina", "01/02/22", "1"
"bosnia_and_herzegovina", "02/13/22", "1"
"bosnia_and_herzegovina", "03/26/22", "0"
"botswana", "04/02/20", "4"
"botswana", "06/11/20", "3"
"botswana", "07/30/20", "1"
"botswana", "09/12/20", "1"
"botswana", "12/20/20", "1"
"botswana", "02/07/21", "1"
"botswana", "05/30/21", "0"
"botswana", "08/14/21", "2"
"botswana", "09/27/21", "3"
"botswana", "12/05/21", "1"
"botswana", "01/16/22", "1"
"brazil", "03/15/20", "7"
"brazil", "05/03/20", "1"
"brazil", "07/01/20", "1"
"brazil", "08/22/20", "1"
"brazil", "12/13/20", "1"
"brazil", "01/12/21", "2"
"brazil", "02/13/21", "1"
"brazil", "03/15/21", "0"
"brazil", "05/25/21", "1"
"brazil", "08/30/21", "1"
"brazil", "12/09/21", "2"
"bulgaria", "03/16/20", "6"
"bulgaria", "07/08/20", "2"
"bulgaria", "07/29/20", "1"
"bulgaria", "10/27/20", "1"
"bulgaria", "03/20/21", "2"
"bulgaria", "05/30/21", "2"
"bulgaria", "09/05/21", "3"
"bulgaria", "10/10/21", "1"
"bulgaria", "12/06/21", "0"
"burkina_faso", "03/19/20", "9"
"burkina_faso", "07/29/20", "2"
"burkina_faso", "01/10/21", "0"
"burkina_faso", "02/14/21", "1"
"burkina_faso", "02/15/21", "1"
"burkina_faso", "03/27/21", "1"
"burkina_faso", "01/28/22", "2"
"burundi", "09/05/20", "0"
"burundi", "01/09/21", "1"
"burundi", "01/30/21", "1"
"burundi", "03/19/21", "1"
"burundi", "12/05/21", "1"
"burundi", "01/23/22", "2"
"burundi", "02/20/22", "1"
"cambodia", "03/15/20", "4"
"cambodia", "08/04/20", "1"
"cambodia", "11/28/20", "3"
"cambodia", "02/07/21", "1"
"cambodia", "03/18/21", "1"
"cambodia", "07/27/21", "0"
"cambodia", "08/29/21", "0"
"cambodia", "06/18/22", "0"
