"state", "date_peak", "cases_peak"
"afghanistan", "05/09/21", "0"
"afghanistan", "06/25/21", "0"
"afghanistan", "08/18/21", "0"
"afghanistan", "09/28/21", "0"
"afghanistan", "11/12/21", "1"
"afghanistan", "12/25/21", "0"
"afghanistan", "02/05/22", "0"
"afghanistan", "03/15/22", "0"
"afghanistan", "05/03/22", "0"
"afghanistan", "07/17/22", "0"
"albania", "03/31/21", "1"
"albania", "06/09/21", "0"
"albania", "07/27/21", "0"
"albania", "12/21/21", "0"
"albania", "01/30/22", "1"
"albania", "03/22/22", "0"
"albania", "05/13/22", "0"
"albania", "06/17/22", "0"
"algeria", "08/18/21", "1"
"algeria", "10/22/21", "0"
"algeria", "11/19/21", "0"
"algeria", "01/07/22", "0"
"algeria", "02/06/22", "0"
"algeria", "03/07/22", "0"
"algeria", "04/29/22", "0"
"angola", "04/17/21", "0"
"angola", "05/19/21", "0"
"angola", "10/16/21", "1"
"angola", "01/26/22", "1"
"angola", "05/20/22", "0"
"angola", "06/24/22", "0"
"argentina", "07/15/21", "1"
"argentina", "08/26/21", "1"
"argentina", "10/21/21", "1"
"argentina", "01/05/22", "1"
"argentina", "05/22/22", "0"
"armenia", "05/28/21", "0"
"armenia", "09/10/21", "0"
"armenia", "10/09/21", "1"
"armenia", "11/26/21", "1"
"armenia", "01/15/22", "0"
"australia", "08/25/21", "1"
"australia", "01/12/22", "1"
"australia", "06/15/22", "0"
"australia", "07/13/22", "0"
"austria", "05/19/21", "1"
"austria", "11/24/21", "1"
"austria", "04/06/22", "0"
"austria", "05/04/22", "0"
"austria", "06/08/22", "0"
"azerbaijan", "03/01/21", "0"
"azerbaijan", "04/02/21", "1"
"azerbaijan", "06/25/21", "1"
"azerbaijan", "09/01/21", "1"
"azerbaijan", "02/11/22", "0"
"azerbaijan", "03/08/22", "1"
"azerbaijan", "05/25/22", "0"
"bahrain", "12/22/20", "0"
"bahrain", "03/06/21", "4"
"bahrain", "04/08/21", "1"
"bahrain", "06/26/21", "1"
"bahrain", "08/02/21", "1"
"bahrain", "09/27/21", "0"
"bahrain", "12/05/21", "1"
"bahrain", "03/04/22", "0"
"bahrain", "05/13/22", "0"
"bahrain", "06/26/22", "0"
"bangladesh", "02/16/21", "0"
"bangladesh", "04/16/21", "0"
"bangladesh", "08/11/21", "1"
"bangladesh", "09/29/21", "1"
"bangladesh", "11/02/21", "1"
"bangladesh", "01/13/22", "3"
"bangladesh", "02/20/22", "2"
"bangladesh", "06/06/22", "1"
"bangladesh", "07/19/22", "1"
"belarus", "04/21/21", "0"
"belarus", "05/21/21", "0"
"belarus", "07/16/21", "1"
"belarus", "10/08/21", "1"
"belarus", "12/31/21", "1"
"belarus", "03/25/22", "1"
"belarus", "04/15/22", "1"
"belarus", "07/08/22", "0"
"belgium", "06/10/21", "1"
"belgium", "09/27/21", "0"
"belgium", "12/20/21", "1"
"belgium", "01/06/22", "1"
"belgium", "04/18/22", "0"
"belgium", "05/30/22", "0"
"benin", "08/30/21", "0"
"benin", "10/26/21", "0"
"benin", "11/28/21", "1"
"benin", "02/20/22", "0"
"benin", "04/24/22", "0"
"benin", "05/20/22", "0"
"benin", "06/17/22", "0"
"bolivia", "04/29/21", "0"
"bolivia", "07/20/21", "1"
"bolivia", "08/26/21", "1"
"bolivia", "10/27/21", "0"
"bolivia", "01/06/22", "1"
"bolivia", "04/16/22", "0"
"bolivia", "05/12/22", "0"
"bolivia", "06/07/22", "0"
"bosnia_and_herzegovina", "04/12/21", "0"
"bosnia_and_herzegovina", "05/23/21", "0"
"bosnia_and_herzegovina", "06/22/21", "1"
"bosnia_and_herzegovina", "07/19/21", "1"
"bosnia_and_herzegovina", "09/27/21", "1"
"bosnia_and_herzegovina", "11/02/21", "1"
"bosnia_and_herzegovina", "01/27/22", "2"
"botswana", "05/19/21", "0"
"botswana", "06/16/21", "0"
"botswana", "08/30/21", "1"
"botswana", "10/12/21", "1"
"botswana", "02/07/22", "1"
"botswana", "04/29/22", "3"
"botswana", "07/15/22", "1"
"brazil", "04/08/21", "0"
"brazil", "08/15/21", "1"
"brazil", "01/19/22", "1"
"brazil", "05/25/22", "0"
"brazil", "06/27/22", "0"
"bulgaria", "02/25/21", "0"
"bulgaria", "05/10/21", "0"
"bulgaria", "07/26/21", "0"
"bulgaria", "10/24/21", "0"
"bulgaria", "01/07/22", "0"
"bulgaria", "03/20/22", "0"
"bulgaria", "06/22/22", "0"
"burkina_faso", "09/20/21", "0"
"burkina_faso", "10/26/21", "0"
"burkina_faso", "12/13/21", "0"
"burkina_faso", "02/18/22", "1"
"burkina_faso", "04/29/22", "0"
"burkina_faso", "07/15/22", "0"
"cambodia", "08/10/21", "2"
"cambodia", "09/20/21", "2"
"cambodia", "12/06/21", "0"
"cambodia", "01/13/22", "1"
"cambodia", "02/24/22", "1"
"cambodia", "05/18/22", "1"
"cameroon", "07/17/21", "0"
"cameroon", "11/20/21", "0"
"cameroon", "02/20/22", "0"
"cameroon", "03/19/22", "0"
"canada", "01/10/21", "0"
"canada", "06/27/21", "1"
"canada", "09/15/21", "0"
"canada", "12/21/21", "1"
"canada", "04/21/22", "0"
"canada", "06/26/22", "0"
"central_african_republic", "06/21/21", "0"
"central_african_republic", "08/23/21", "0"
"central_african_republic", "10/19/21", "0"
"central_african_republic", "12/02/21", "0"
"central_african_republic", "01/13/22", "0"
"central_african_republic", "02/16/22", "0"
"central_african_republic", "05/20/22", "0"
"central_african_republic", "07/01/22", "0"
"chad", "10/04/21", "0"
"chad", "03/29/22", "1"
"chile", "03/10/21", "1"
"chile", "05/27/21", "1"
"chile", "08/18/21", "1"
"chile", "10/27/21", "1"
"chile", "12/28/21", "1"
"chile", "02/14/22", "0"
"chile", "06/01/22", "1"
"china", "01/18/21", "0"
"china", "06/23/21", "1"
"china", "07/30/21", "1"
"china", "12/25/21", "1"
"china", "02/10/22", "0"
"colombia", "06/20/21", "1"
"colombia", "08/03/21", "1"
"colombia", "11/29/21", "1"
"colombia", "01/11/22", "1"
"colombia", "03/07/22", "1"
"colombia", "05/11/22", "0"
"colombia", "06/01/22", "0"
"congo", "06/12/21", "0"
"congo", "07/13/21", "0"
"congo", "09/07/21", "0"
"congo", "10/05/21", "0"
"congo", "12/26/21", "0"
"congo", "03/09/22", "0"
"costa_rica", "01/30/21", "0"
"costa_rica", "06/12/21", "1"
"costa_rica", "07/24/21", "2"
