"state", "date_peak", "cases_peak"
"washington", "4/5/2020", "442"
"washington", "7/15/2020", "843"
"washington", "12/10/2020", "3,128"
"washington", "4/29/2021", "1,363"
"washington", "9/1/2021", "3,499"
"washington", "1/27/2022", "19,716"
"illinois", "5/2/2020", "2,248"
"illinois", "9/3/2020", "2,158"
"illinois", "11/12/2020", "10,729"
"illinois", "4/9/2021", "2,966"
"illinois", "9/1/2021", "4,355"
"illinois", "1/5/2022", "33,231"
"california", "7/23/2020", "8,838"
"california", "12/19/2020", "39,715"
"california", "8/21/2021", "13,946"
"california", "10/28/2021", "6,783"
"california", "1/12/2022", "113,547"
"arizona", "7/3/2020", "3,361"
"arizona", "1/6/2021", "8,998"
"arizona", "4/29/2021", "691"
"arizona", "9/4/2021", "2,984"
"arizona", "12/4/2021", "3,614"
"arizona", "1/21/2022", "18,671"
"massachusetts", "4/26/2020", "2,194"
"massachusetts", "8/27/2020", "381"
"massachusetts", "1/8/2021", "5,744"
"massachusetts", "4/8/2021", "2,049"
"massachusetts", "9/15/2021", "1,990"
"massachusetts", "1/8/2022", "21,728"
"wisconsin", "7/24/2020", "847"
"wisconsin", "11/13/2020", "6,211"
"wisconsin", "4/9/2021", "847"
"wisconsin", "9/22/2021", "3,127"
"wisconsin", "1/19/2022", "21,228"
"texas", "7/16/2020", "9,321"
"texas", "9/23/2020", "6,390"
"texas", "1/14/2021", "20,978"
"texas", "9/2/2021", "18,647"
"texas", "1/15/2022", "64,112"
"nebraska", "5/3/2020", "367"
"nebraska", "8/1/2020", "259"
"nebraska", "11/18/2020", "2,154"
"nebraska", "4/2/2021", "423"
"nebraska", "9/1/2021", "807"
"nebraska", "1/19/2022", "4,163"
"utah", "7/11/2020", "583"
"utah", "11/20/2020", "3,057"
"utah", "1/5/2021", "2,958"
"utah", "9/15/2021", "1,573"
"utah", "11/15/2021", "1,674"
"utah", "1/19/2022", "10,808"
"oregon", "4/3/2020", "66"
"oregon", "5/7/2020", "69"
"oregon", "7/19/2020", "304"
"oregon", "12/5/2020", "1,307"
"oregon", "4/24/2021", "750"
"oregon", "9/1/2021", "2,210"
"oregon", "1/19/2022", "8,214"
"florida", "4/5/2020", "996"
"florida", "7/15/2020", "10,390"
"florida", "1/5/2021", "15,201"
"florida", "4/16/2021", "6,151"
"florida", "8/19/2021", "23,314"
"florida", "1/6/2022", "66,669"
"new_york", "4/9/2020", "8,415"
"new_york", "7/16/2020", "658"
"new_york", "1/9/2021", "14,499"
"new_york", "3/27/2021", "9,061"
"new_york", "9/19/2021", "4,695"
"new_york", "1/8/2022", "66,488"
"rhode_island", "4/23/2020", "346"
"rhode_island", "7/29/2020", "114"
"rhode_island", "12/9/2020", "1,240"
"rhode_island", "1/6/2021", "1,381"
"rhode_island", "4/14/2021", "436"
"rhode_island", "9/15/2021", "371"
"rhode_island", "1/12/2022", "5,149"
"georgia", "4/9/2020", "788"
"georgia", "7/31/2020", "3,093"
"georgia", "10/8/2020", "4,082"
"georgia", "1/10/2021", "8,469"
"georgia", "9/1/2021", "8,904"
"georgia", "1/12/2022", "19,186"
"new_hampshire", "5/4/2020", "85"
"new_hampshire", "7/23/2020", "30"
"new_hampshire", "12/10/2020", "782"
"new_hampshire", "4/9/2021", "390"
"new_hampshire", "1/19/2022", "3,128"
"north_carolina", "7/16/2020", "1,748"
"north_carolina", "1/9/2021", "7,577"
"north_carolina", "4/14/2021", "2,054"
"north_carolina", "9/15/2021", "7,300"
"north_carolina", "1/19/2022", "29,017"
"new_jersey", "4/4/2020", "3,199"
"new_jersey", "7/27/2020", "405"
"new_jersey", "1/7/2021", "12,160"
"new_jersey", "3/26/2021", "3,945"
"new_jersey", "9/11/2021", "2,037"
"new_jersey", "1/7/2022", "28,405"
"colorado", "4/27/2020", "488"
"colorado", "7/24/2020", "531"
"colorado", "11/19/2020", "4,402"
"colorado", "4/28/2021", "1,578"
"colorado", "11/11/2021", "3,106"
"colorado", "1/12/2022", "15,858"
"maryland", "5/22/2020", "1,005"
"maryland", "7/30/2020", "803"
"maryland", "12/11/2020", "2,475"
"maryland", "1/9/2021", "2,850"
"maryland", "4/10/2021", "1,237"
"maryland", "9/23/2021", "1,085"
"maryland", "1/5/2022", "14,313"
"nevada", "4/11/2020", "134"
"nevada", "7/17/2020", "1,033"
"nevada", "12/6/2020", "2,352"
"nevada", "4/12/2021", "405"
"nevada", "9/15/2021", "1,172"
"nevada", "10/6/2021", "1,988"
"nevada", "1/12/2022", "6,268"
"tennessee", "7/29/2020", "2,098"
"tennessee", "12/16/2020", "8,294"
"tennessee", "4/21/2021", "1,474"
