"state", "date_peak", "cases_peak"
"afghanistan", "6/5/2020", "656"
"afghanistan", "12/17/2020", "215"
"afghanistan", "6/20/2021", "1,780"
"afghanistan", "11/23/2021", "47"
"afghanistan", "2/9/2022", "604"
"albania", "1/21/2022", "2,059"
"algeria", "5/24/2020", "165"
"algeria", "7/27/2020", "535"
"algeria", "11/25/2020", "913"
"algeria", "7/28/2021", "1,332"
"algeria", "1/25/2022", "1,910"
"angola", "4/6/2020", "2"
"angola", "10/24/2020", "228"
"angola", "1/15/2021", "89"
"angola", "5/26/2021", "256"
"angola", "10/4/2021", "552"
"angola", "12/31/2021", "1,595"
"argentina", "1/13/2022", "102,683"
"armenia", "6/27/2020", "589"
"armenia", "10/30/2020", "1,921"
"armenia", "3/26/2021", "871"
"armenia", "10/23/2021", "1,759"
"armenia", "2/4/2022", "3,166"
"australia", "1/30/2020", "1"
"australia", "3/28/2020", "331"
"australia", "8/1/2020", "450"
"australia", "12/21/2020", "24"
"australia", "4/25/2021", "22"
"australia", "10/7/2021", "2,009"
"australia", "1/13/2022", "97,261"
"austria", "3/25/2020", "692"
"austria", "11/13/2020", "6,459"
"austria", "3/26/2021", "2,843"
"austria", "11/20/2021", "12,645"
"austria", "1/29/2022", "29,283"
"azerbaijan", "4/7/2020", "69"
"azerbaijan", "7/1/2020", "482"
"azerbaijan", "12/11/2020", "3,730"
"azerbaijan", "4/9/2021", "2,023"
"azerbaijan", "8/27/2021", "3,364"
"azerbaijan", "11/5/2021", "2,102"
"azerbaijan", "2/8/2022", "6,043"
"bahrain", "6/25/2020", "500"
"bahrain", "9/15/2020", "621"
"bahrain", "2/13/2021", "683"
"bahrain", "5/27/2021", "2,522"
"bahrain", "8/13/2021", "108"
"bahrain", "2/4/2022", "6,644"
"bangladesh", "1/26/2022", "12,649"
"belarus", "5/15/2020", "821"
"belarus", "1/16/2021", "1,662"
"belarus", "4/24/2021", "1,121"
"belarus", "5/19/2021", "1,227"
"belarus", "10/23/2021", "1,768"
"belarus", "2/9/2022", "6,455"
"belgium", "4/18/2020", "1,266"
"belgium", "8/8/2020", "567"
"belgium", "10/29/2020", "15,457"
"belgium", "1/29/2021", "2,185"
"belgium", "3/24/2021", "4,684"
"belgium", "12/1/2021", "17,976"
"belgium", "1/26/2022", "51,241"
"benin", "5/10/2020", "33"
"benin", "6/24/2020", "58"
"benin", "10/30/2020", "18"
"benin", "3/6/2021", "129"
"benin", "9/1/2021", "511"
"benin", "1/2/2022", "84"
"bolivia", "7/17/2020", "1,476"
"bolivia", "1/28/2021", "2,051"
"bolivia", "6/11/2021", "2,827"
"bolivia", "1/19/2022", "11,317"
"bosnia_and_herzegovina", "5/2/2020", "49"
"bosnia_and_herzegovina", "8/13/2020", "302"
"bosnia_and_herzegovina", "11/6/2020", "1,451"
"bosnia_and_herzegovina", "3/31/2021", "1,635"
"bosnia_and_herzegovina", "9/15/2021", "746"
"bosnia_and_herzegovina", "11/10/2021", "884"
"bosnia_and_herzegovina", "1/19/2022", "2,341"
"botswana", "4/7/2020", "1"
"botswana", "10/17/2020", "299"
"botswana", "11/17/2020", "196"
"botswana", "1/19/2021", "327"
"botswana", "3/2/2021", "482"
"botswana", "8/3/2021", "2,269"
"botswana", "11/3/2021", "906"
"botswana", "12/28/2021", "1,502"
"brazil", "7/23/2020", "42,513"
"brazil", "12/17/2020", "44,476"
"brazil", "1/15/2021", "50,220"
"brazil", "3/25/2021", "70,342"
"brazil", "6/18/2021", "66,875"
"brazil", "1/28/2022", "174,088"
"bulgaria", "4/25/2020", "55"
"bulgaria", "7/23/2020", "226"
"bulgaria", "11/19/2020", "3,207"
"bulgaria", "3/25/2021", "3,478"
"bulgaria", "10/28/2021", "4,513"
"bulgaria", "1/27/2022", "8,426"
"burkina_faso", "4/7/2020", "20"
"burkina_faso", "6/26/2020", "8"
"burkina_faso", "9/16/2020", "40"
"burkina_faso", "12/23/2020", "169"
"burkina_faso", "10/15/2021", "31"
